0,P,0.6532911103906799
2,P,0.09678386560162572
5,10,P,0.06532911128028103
11,P,0.04083069451616306
7,P,0.022577740826543985
14,P,0.022577740826543985
9,10,P,0.016332277820534463
10,15,P,0.016332277789054394
12,P,0.014338350890335437
10,16,P,0.00967838684817967
6,P,0.007266986408850593
3,10,P,0.0068901797059144594
1,10,P,0.005351760796315806
4,5,P,0.005351760793378589
5,13,P,0.005351760591211541
5,8,P,0.0043757173785551745
9,13,P,0.0013379401989671925
4,15,P,0.0013372413802090165
13,15,P,0.0013372413802083415
8,15,P,0.0010939293591984295
4,16,P,7.92853451179103E-4
13,16,P,7.928534511785347E-4
8,16,P,6.4821831489138E-4
